__v,_id,buyCount,category_id,color,createAt,description,details,images,label,name,price,sale,size,status,stock
0,62d99e7cbec2394a56569bc8,3,,White,2022-07-21T18:44:12.722Z,abc,bca,"[""2022-07-21T18-44-12.712Z-giay-nike-air-force-1-low-white-dh2920-111-mau-trang-size-40-62cbdb7ff0613-11072022151247.jpg"",""2022-07-21T18-44-12.712Z-giay-nike-air-force-1-low-white-dh2920-111-mau-trang-size-40-62cbdb793f577-11072022151241.jpg"",""2022-07-21T18-44-12.712Z-mojtaba-fahiminia-t4g1gctAaKk-unsplash.jpg""]",Nike,Nike Air Force 1 Low White ,150,0,"[""43""]",1,10
0,62d99fa4096bbd08af0bab5e,4,,White,2022-07-21T18:49:08.554Z,abc,bca,"[""2022-07-21T18-49-08.546Z-1.jpg"",""2022-07-21T18-49-08.546Z-11.jpg"",""2022-07-21T18-49-08.546Z-111.jpg""]",Nike,Nike Blazer Low Limited Edition ‘Pink Quartz’,160,0,"[""42"",""43""]",1,10
0,62da7174fa66dfa803bb9b1c,5,62d7bd257f18552b5441a18c,White,2022-07-22T09:44:20.791Z,abc,abc,"[""2022-07-22T09-44-20.780Z-2.1.jpg"",""2022-07-22T09-44-20.780Z-2.2.jpg"",""2022-07-22T09-44-20.781Z-2.jpg""]",Nike,Nike Air Force 1 Low xxv,120,0,"[""41"",""42"",""43""]",1,3
0,62dd7ac2fb1c50fde7135a25,0,62d79a084982d1fbd65b0902,White,2022-07-24T17:00:50.457Z,"The silhouettes of the Converse Platform high heel shoes that appeared in recent themed collections, are now brought back by Converse in a separate version – the Converse Lift Platform Canvas. If in previous designs, you couldn't help but be moved by the luxurious beauty of this shoe, then in the recent collection, the classic features with the most basic colors will conquer you again. Let's take a look with Drake through the landing of a series of items in the Converse Platform Canvas BST that the basketball house has ""loved"" selected to send her.","Bringing back the high-soled version in a base look, the Converse Lift Platform Canvas is a fluid and harmonious combination of a dense rubber platform and the lightweight, persistent Upper Canvas. With basic colors and hack style that cannot be underestimated, you can confidently wear this item to meet friends in the most beautiful and radiant outfits.","[""2022-07-24T17-00-50.440Z-1.1.jpg"",""2022-07-24T17-00-50.441Z-1.2.jpg"",""2022-07-24T17-00-50.441Z-1.jpg""]",Converse,Converse Chuck Taylor All Star Lift Platform Canvas,80,0,"[""39"",""41"",""43""]",1,10
0,62dd7e67fb1c50fde7135a30,6,,White,2022-07-24T17:16:23.849Z,"Converse Chuck Taylor All Star Rave được tái thiết kế dựa trên kiểu dáng kinh điển mang lại sự thoải mái và linh hoạt cả ngày. Tổng thể là sự kết hợp của các chi tiết vượt thời gian để trở nên hiện đại nhất. Upper với 50% cotton tái chế và 50% canvas cùng điểm nhấn lượn sóng đầy ấn tượng. Lớp đệm êm ái ở lưỡi gà và cổ giày gia tăng độ êm ái cho đôi chân. Trong khi đó, phần gót và quai lưỡi gà thiết kế dài hơn giúp việc mang vào tháo ra trở nên dễ dàng hơn.",Converse Chuck Taylor All Star Rave,"[""2022-07-24T17-16-23.846Z-2.1.jpg"",""2022-07-24T17-16-23.846Z-2.2.jpg"",""2022-07-24T17-16-23.846Z-2.jpg""]",Converse,Converse Chuck Taylor All Star Rave ,75,5,"[""37"",""39""]",1,2
0,62dd7fdcfb1c50fde7135a39,2,62d79a084982d1fbd65b0902,White,2022-07-24T17:22:36.759Z,,,"[""2022-07-24T17-22-36.754Z-3.1.jpg"",""2022-07-24T17-22-36.754Z-3.2.jpg"",""2022-07-24T17-22-36.754Z-3.3.jpg""]",Converse,Chuck Taylor All Star Shoreline Knit Slip,90,5,"[""41"",""42"",""43""]",1,3
0,62dd8059fb1c50fde7135a3d,0,62d79a084982d1fbd65b0902,Black,2022-07-24T17:24:41.508Z,"The compact style combined with the quality of the lightweight knit fabric creates a comfortable feeling on the feet. Fairy Slaveation has a good mode stretch that helps limit the mode when moving for many hours in a row. Besides, the design with basic black color is easy to mix with any outfit.",Chuck Taylor All Star Shoreline Knit Slip,"[""2022-07-24T17-24-41.504Z-4.1.jpg"",""2022-07-24T17-24-41.504Z-4.2.jpg"",""2022-07-24T17-24-41.505Z-4.3.jpg""]",Converse,Chuck Taylor All Star Shoreline Knit Slip,90,10,"[""37"",""39"",""41"",""42"",""43""]",1,10
0,62de3ba9d1eca979699db0fb,2,62d799bb4982d1fbd65b08f6,Grey,2022-07-25T06:43:53.142Z,"The Puma Electrify Nitro is a sports shoe that allows you to move and move with extreme flexibility, in addition to meeting all your daily commuting needs Puma Electrify Nitro is also a very good running shoe at a reasonable price.",abc,"[""2022-07-25T06-43-53.131Z-2.1.jpg"",""2022-07-25T06-43-53.132Z-2.2.jpg"",""2022-07-25T06-43-53.133Z-2.3.jpg""]",Puma,PUMA ELECTRIFY NITRO,100,0,"[""41"",""42"",""43""]",1,5
0,62de3c66d1eca979699db109,0,62d799bb4982d1fbd65b08f6,Black,2022-07-25T06:47:02.388Z,Puma Softride Vital Repel is one of the sports shoes with a simple but very sophisticated design. A model shoe that you can use in every active day.,123,"[""2022-07-25T06-47-02.384Z-3.1.jpg"",""2022-07-25T06-47-02.384Z-3.2.jpg"",""2022-07-25T06-47-02.384Z-3.3.jpg""]",Puma,PUMA SOFTRIDE VITAL REPEL,80,3,"[""37"",""39"",""41"",""42"",""43""]",1,5
0,62de3cc0d1eca979699db10d,0,62d799bb4982d1fbd65b08f6,White,2022-07-25T06:48:32.721Z,Puma Softride Vital Repel is one of the sports shoes with a simple but very sophisticated design. A model shoe that you can use in every active day.,789,"[""2022-07-25T06-48-32.715Z-4.1.jpg"",""2022-07-25T06-48-32.715Z-4.2.jpg"",""2022-07-25T06-48-32.716Z-4.3.jpg""]",Puma,PUMA SOFTRIDE ENZO NXT,100,0,"[""43""]",1,1
0,62deda98811650a78b9b51b0,0,62d79a084982d1fbd65b0902,Red,2022-07-25T18:02:00.200Z,,,"[""2022-07-25T18-02-00.188Z-Chuck Taylor All Star Classic-65-1.1.jpg"",""2022-07-25T18-02-00.189Z-Chuck Taylor All Star Classic-65-1.2.jpg"",""2022-07-25T18-02-00.189Z-Chuck Taylor All Star Classic-65-1.3.jpg""]",Converse,Chuck Taylor All Star Classic,65,3,"[""37"",""39"",""41""]",1,5
0,62dedadc811650a78b9b51b4,0,62d79a084982d1fbd65b0902,Red,2022-07-25T18:03:08.341Z,,,"[""2022-07-25T18-03-08.337Z-Chuck Taylor All Star Lift 2X Platform Iridescent Leather-85-1.1.jpg"",""2022-07-25T18-03-08.338Z-Chuck Taylor All Star Lift 2X Platform Iridescent Leather-85-1.2.jpg"",""2022-07-25T18-03-08.339Z-Chuck Taylor All Star Lift 2X Platform Iridescent Leather-85-1.3.jpg""]",Converse,Chuck Taylor All Star Lift 2X Platform Iridescent Leather,85,0,"[""43""]",1,1
0,62dedb09811650a78b9b51b8,0,62d79a084982d1fbd65b0902,White,2022-07-25T18:03:53.082Z,,,"[""2022-07-25T18-03-53.074Z-Chuck Taylor All Star Lift Platform Leather-80-1.1.jpg"",""2022-07-25T18-03-53.075Z-Chuck Taylor All Star Lift Platform Leather-80-1.2.jpg"",""2022-07-25T18-03-53.075Z-Chuck Taylor All Star Lift Platform Leather-80-1.3.jpg""]",Converse,Chuck Taylor All Star Lift Platform Leather,80,0,"[""37"",""39"",""41"",""42"",""43""]",1,10
0,62dedb49811650a78b9b51be,0,62d79a084982d1fbd65b0902,Red,2022-07-25T18:04:57.037Z,,,"[""2022-07-25T18-04-57.033Z-Chuck Taylor All Star Lift Platform Peaches-85-1.1.jpg"",""2022-07-25T18-04-57.033Z-Chuck Taylor All Star Lift Platform Peaches-85-1.2.jpg"",""2022-07-25T18-04-57.034Z-Chuck Taylor All Star Lift Platform Peaches-85-1.3.jpg""]",Converse,Chuck Taylor All Star Lift Platform Peaches,85,0,"[""37"",""42"",""43""]",1,3
0,62dedb94811650a78b9b51c2,0,62d79a084982d1fbd65b0902,Red,2022-07-25T18:06:12.361Z,,,"[""2022-07-25T18-06-12.356Z-Chuck Taylor All Star Lift Platform Tonal Materials-75-1.1.jpg"",""2022-07-25T18-06-12.357Z-Chuck Taylor All Star Lift Platform Tonal Materials-75-1.2.jpg"",""2022-07-25T18-06-12.357Z-Chuck Taylor All Star Lift Platform Tonal Materials-75-1.3.jpg""]",Converse,Chuck Taylor All Star Lift Platform Tonal Materials,75,5,"[""37"",""39"",""41"",""42"",""43""]",1,10
0,62dedbc5811650a78b9b51c6,0,62d79a084982d1fbd65b0902,Black,2022-07-25T18:07:01.317Z,,,"[""2022-07-25T18-07-01.314Z-Chuck Taylor All Star Lift Platform Western Embroidery-80-1.1.jpg"",""2022-07-25T18-07-01.314Z-Chuck Taylor All Star Lift Platform Western Embroidery-80-1.2.jpg"",""2022-07-25T18-07-01.314Z-Chuck Taylor All Star Lift Platform Western Embroidery-80-1.3.jpg""]",Converse,Chuck Taylor All Star Lift Platform Western Embroidery,80,0,"[""43""]",1,1